array_type,size,algorithm,kind,time_ms,char_ops
random,100,StandardQuickSort,standard,0.004936,691
random,100,StandardMergeSort,standard,0.015582,609
random,100,StringQuickSort,specialized,0.003784,621
random,100,StringMergeSort,specialized,0.018642,504
random,100,MsdRadixSort,specialized,0.005268,166
random,100,MsdRadixQuickSort,specialized,0.005663,208
random,200,StandardQuickSort,standard,0.010018,1643
random,200,StandardMergeSort,standard,0.041379,1486
random,200,StringQuickSort,specialized,0.010294,1659
random,200,StringMergeSort,specialized,0.040395,1163
random,200,MsdRadixSort,specialized,0.010646,430
random,200,MsdRadixQuickSort,specialized,0.011014,517
random,300,StandardQuickSort,standard,0.017318,2798
random,300,StandardMergeSort,standard,0.095295,2514
random,300,StringQuickSort,specialized,0.015420,2553
random,300,StringMergeSort,specialized,0.105752,1905
random,300,MsdRadixSort,specialized,0.018409,755
random,300,MsdRadixQuickSort,specialized,0.021278,900
random,400,StandardQuickSort,standard,0.029505,4848
random,400,StandardMergeSort,standard,0.151758,3661
random,400,StringQuickSort,specialized,0.024757,3923
random,400,StringMergeSort,specialized,0.171471,2684
random,400,MsdRadixSort,specialized,0.029065,1180
random,400,MsdRadixQuickSort,specialized,0.031385,1351
random,500,StandardQuickSort,standard,0.046483,5867
random,500,StandardMergeSort,standard,0.206522,4850
random,500,StringQuickSort,specialized,0.026629,4519
random,500,StringMergeSort,specialized,0.213564,3462
random,500,MsdRadixSort,specialized,0.041455,1676
random,500,MsdRadixQuickSort,specialized,0.043468,1844
random,600,StandardQuickSort,standard,0.059824,7114
random,600,StandardMergeSort,standard,0.274808,6143
random,600,StringQuickSort,specialized,0.042470,6306
random,600,StringMergeSort,specialized,0.307591,4348
random,600,MsdRadixSort,specialized,0.054345,2230
random,600,MsdRadixQuickSort,specialized,0.056741,2398
random,700,StandardQuickSort,standard,0.078270,8384
random,700,StandardMergeSort,standard,0.329314,7436
random,700,StringQuickSort,specialized,0.046100,6286
random,700,StringMergeSort,specialized,0.362271,5202
random,700,MsdRadixSort,specialized,0.067425,2923
random,700,MsdRadixQuickSort,specialized,0.072298,2914
random,800,StandardQuickSort,standard,0.087239,11343
random,800,StandardMergeSort,standard,0.383034,8805
random,800,StringQuickSort,specialized,0.068795,9379
random,800,StringMergeSort,specialized,0.438808,6099
random,800,MsdRadixSort,specialized,0.090752,3177
random,800,MsdRadixQuickSort,specialized,0.086264,3441
random,900,StandardQuickSort,standard,0.110558,11814
random,900,StandardMergeSort,standard,0.451293,10163
random,900,StringQuickSort,specialized,0.076197,8715
random,900,StringMergeSort,specialized,0.507724,6984
random,900,MsdRadixSort,specialized,0.111137,3524
random,900,MsdRadixQuickSort,specialized,0.100103,3945
random,1000,StandardQuickSort,standard,0.127624,13671
random,1000,StandardMergeSort,standard,0.500189,11584
random,1000,StringQuickSort,specialized,0.102299,11919
random,1000,StringMergeSort,specialized,0.583836,7863
random,1000,MsdRadixSort,specialized,0.131819,4033
random,1000,MsdRadixQuickSort,specialized,0.113511,4556
random,1100,StandardQuickSort,standard,0.152950,15745
random,1100,StandardMergeSort,standard,0.583594,13068
random,1100,StringQuickSort,specialized,0.109330,11477
random,1100,StringMergeSort,specialized,0.572322,8800
random,1100,MsdRadixSort,specialized,0.156784,4045
random,1100,MsdRadixQuickSort,specialized,0.134827,5158
random,1200,StandardQuickSort,standard,0.138680,17344
random,1200,StandardMergeSort,standard,0.637999,14622
random,1200,StringQuickSort,specialized,0.120393,12305
random,1200,StringMergeSort,specialized,0.726498,9793
random,1200,MsdRadixSort,specialized,0.180132,4184
random,1200,MsdRadixQuickSort,specialized,0.150178,5886
random,1300,StandardQuickSort,standard,0.192769,18769
random,1300,StandardMergeSort,standard,0.692609,16108
random,1300,StringQuickSort,specialized,0.133779,14124
random,1300,StringMergeSort,specialized,0.797974,10710
random,1300,MsdRadixSort,specialized,0.206454,4273
